,floor,price,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,priceByArea
210,2,1600.0,75.0,1,3.0,2,41.3937473,2.1233227,1,21.0
211,3,1200.0,75.0,1,3.0,1,41.3759879,2.1607393,1,16.0
212,10,1500.0,108.0,1,2.0,2,41.4162537,2.2220087,1,14.0
213,2,1500.0,120.0,1,3.0,1,41.3886534,2.1425677,1,13.0
214,1,1300.0,140.0,1,2.0,1,41.4038499,2.1538878,0,9.0
215,1,1650.0,135.0,1,4.0,2,41.3980323,2.1505575,1,12.0
216,2,2200.0,180.0,1,3.0,3,41.3979256,2.1331834,1,12.0
217,2,800.0,45.0,1,2.0,1,41.2697531,1.9479476,0,18.0
218,0,1100.0,80.0,1,2.0,1,41.2716999,1.9571605,0,14.0
219,2,1800.0,145.0,1,0.0,2,41.4024873,2.142471,1,12.0
220,0,2200.0,288.0,0,5.0,3,41.5715762,2.4400995,0,8.0
221,2,600.0,80.0,1,2.0,2,41.5259491,2.1185674,1,8.0
222,0,1195.0,250.0,0,4.0,4,41.6866442,2.3131459,0,5.0
223,5,850.0,50.0,1,2.0,1,41.3906337,2.1855317,1,17.0
224,5,1800.0,95.0,1,3.0,2,41.4018148,2.1251699,1,19.0
225,3,900.0,68.0,1,2.0,1,41.373175,2.1702429,1,13.0
226,1,1600.0,70.0,1,2.0,1,41.3817179,2.1745447,0,23.0
227,2,600.0,60.0,1,0.0,1,41.5362006,2.2168182,1,10.0
228,0,2400.0,170.0,1,2.0,2,41.400256,2.1619099,0,14.0
229,12,2600.0,115.0,1,3.0,2,41.40659,2.2163093,1,23.0
230,3,900.0,68.0,1,2.0,1,41.3726259,2.1720791,1,13.0
231,3,900.0,70.0,1,2.0,1,41.370575,2.1720429,1,13.0
232,6,2000.0,134.0,1,2.0,2,41.404007,2.1378917,1,15.0
233,4,1000.0,83.0,1,3.0,1,41.3762746,2.1547111,1,12.0
234,5,600.0,89.0,1,3.0,1,41.5610533,2.0994983,0,7.0
235,2,850.0,69.0,1,3.0,1,41.423351,2.1530622,0,12.0
236,3,900.0,68.0,1,2.0,1,41.3711502,2.1717504,1,13.0
237,2,1200.0,84.0,1,0.0,1,41.3885435,2.1561526,1,14.0
238,3,770.0,95.0,1,4.0,1,41.4550594,2.2370088,1,8.0
239,1,900.0,120.0,0,3.0,2,41.4928862,2.0369621,1,8.0
240,1,1000.0,75.0,1,2.0,2,41.418494,2.1758561,1,13.0
241,1,800.0,60.0,1,1.0,1,41.4076778,2.1762669,1,13.0
242,2,1100.0,56.0,1,2.0,1,41.3732829,2.1649434,1,20.0
243,0,2050.0,110.0,1,3.0,2,41.4112758,2.1805222,1,19.0
244,2,600.0,115.0,1,4.0,1,41.5604433,2.0005325,0,5.0
245,1,2300.0,85.0,1,2.0,2,41.3860859,2.167555,1,27.0
246,1,940.0,77.0,1,3.0,1,41.424699,2.1453665,1,12.0
247,9,1100.0,90.0,1,3.0,1,41.4106257,2.186905,1,12.0
248,3,775.0,69.0,1,2.0,1,41.4193057,2.1463605,1,11.0
249,1,800.0,45.0,0,1.0,1,41.4084778,2.1727669,1,18.0
250,4,1200.0,71.0,1,3.0,1,41.3845273,2.1476215,1,17.0
251,4,850.0,90.0,1,3.0,1,41.4039348,2.1781211,1,9.0
252,1,875.0,65.0,1,2.0,1,41.3890846,2.1810849,1,13.0
253,4,1400.0,150.0,1,4.0,2,41.4085559,2.1594929,1,9.0
255,4,1100.0,80.0,1,4.0,1,41.41706,2.21779,1,14.0
