propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,newDevelopment,tenantNumber,tenantGender,hasLift,isSmokingAllowed,priceByArea
34952925,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHtbUlmNauA2E%2FB%2BKDzZVNi2OWzoHE7qFFiCvFUOaz%2BHenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1968022580,27,4,3000.0,flat,rent,120.0,True,5,2,plaza Comercial,Barcelona,Barcelona,Ciutat Vella,es,Sant Pere - Santa Caterina i la Ribera,41.3832479,2.1835719,False,http://www.idealista.com/34952925,2338,True,False,NaN,NaN,True,NaN,25.0
34952918,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRK1wDV1zNceugAra3vMKtA2oJ32MBtaQFLPnTNchdc18enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1911545990,10,2,2800.0,flat,rent,190.0,True,5,2,calle Ample,Barcelona,Barcelona,Ciutat Vella,es,El Gòtic,41.3822373,2.1808029,False,http://www.idealista.com/34952918,2352,True,False,NaN,NaN,False,NaN,15.0
34952837,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRBIt304N1zbEaVTYiMKa7pcgAi2l1xQmJp8yS00Ny444enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1502801271,27,NaN,4500.0,chalet,rent,750.0,False,7,6,Cabrils,Barcelona,Cabrils,NaN,es,NaN,41.52753,2.36815,False,http://www.idealista.com/34952837,21522,False,False,NaN,NaN,NaN,NaN,6.0
34952854,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRAcNQICIH%2BA6yXuzAOwT8OkOJGF3vlmlYRa371EVytHyenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1363705293,14,NaN,580.0,flat,rent,88.0,False,2,1,"carrer de sant jaume, 25",Barcelona,Esparreguera,NaN,es,NaN,41.539997,1.8707429,True,http://www.idealista.com/34952854,29360,False,True,NaN,NaN,True,NaN,7.0
33267148,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNczAuMbWUblQb3uZcx9YYDvsD7Ua7om9FiaFRygLMP4enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1025906770,14,3,1575.0,flat,rent,84.0,True,2,1,"fastenrath, 178",Barcelona,Barcelona,Horta Guinardó,es,El Carmel,41.42129,2.15156,True,http://www.idealista.com/33267148,2690,False,False,NaN,NaN,True,NaN,19.0
34952799,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLkGcqWXU9sSRUFIXb61qfd4%2BOKO2rHhVAWJQN%2FZM4yvenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1982909245,17,4,1350.0,flat,rent,80.0,True,2,1,calle de Provença,Barcelona,Barcelona,Eixample,es,L'Antiga Esquerra de l'Eixample,41.3873881,2.1560198,False,http://www.idealista.com/34952799,2081,False,False,NaN,NaN,True,NaN,17.0
34952770,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQREDYw0c2ULrngNIm%2BLcDOadZchlC1gXCeYPQSVkHvfKjenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1386085041,19,7,2000.0,penthouse,rent,100.0,True,2,1,calle de la Diputació,Barcelona,Barcelona,Eixample,es,El Fort Pienc,41.3990289,2.1750086,False,http://www.idealista.com/34952770,464,True,False,NaN,NaN,True,NaN,20.0
827226,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHC5kZ9Yb5JtjOw2024QjgC3JErF3CdWGwpjRlfLvOltvs8tNO0UI8ikumdrQdCL4%2BMuM7f6tB6QDkdjkELUP3WSBIg8D8Z11Ua26cdm8DZZ&ch=-425989093,15,1,850.0,flat,rent,45.0,True,1,1,calle Ramelleres,Barcelona,Barcelona,Ciutat Vella,es,El Raval,41.3868049,2.1702188,False,http://www.idealista.com/827226,1710,True,False,NaN,NaN,False,NaN,19.0
34952765,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRPWbuTPynS9yNt%2FbofBe4m9VWrqrFicKtQvkh664v1isenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1410316289,20,2,2800.0,flat,rent,200.0,True,3,2,barrio La Dreta de l'Eixample,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3965346,2.1651822,False,http://www.idealista.com/34952765,809,False,False,NaN,NaN,True,NaN,14.0
34952755,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRCxM2gS7Iuih1xJXsw%2FreH1%2FX9djdTZ1tbq%2Fo1BPAxT4enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-346927264,19,bj,1200.0,duplex,rent,58.0,True,1,2,calle de l'Est s/n,Barcelona,Barcelona,Ciutat Vella,es,El Raval,41.3777585,2.1729066,True,http://www.idealista.com/34952755,2716,False,False,NaN,NaN,False,NaN,21.0
