rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,priceperarea,type_chalet,type_chalet_independantHouse,type_chalet_semidetachedHouse,type_chalet_terracedHouse,type_flat,type_flat_duplex,type_flat_penthouse,type_flat_studio,good,newdevelopment,renew
1.0,1.0,1.0,0.0,45.0,0.0,2.1593643,41.3712342,650.0,0.0,0.0,612.1,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,66.0,1.0,2.1886201,41.4317519,760.0,0.0,0.0,613.3,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,90.0,3.0,2.1801744,41.4084052,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,90.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,65.0,3.0,2.1862879,41.4069323,850.0,0.0,0.0,644.0,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,70.0,5.0,2.1229468,41.3802868,1000.0,0.0,0.0,756.6,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,0.0,50.0,4.0,2.1652311,41.3776291,830.0,0.0,0.0,625.8,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,100.0,6.0,2.1633256,41.4090251,1480.0,0.0,0.0,733.1,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,0.0,0.0,60.0,1.0,2.1810519,41.3852992,1450.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,59.0,2.0,2.1465437,41.3857099,1300.0,0.0,0.0,783.8,0,0,0,0,1,0,0,0,1,0,0
4.0,3.0,0.0,0.0,128.0,2.0,2.1378423,41.401357,3871.0,0.0,0.0,1156.3,0,0,0,0,1,0,0,0,0,0,0
4.0,6.0,0.0,0.0,466.0,0.0,2.163609,41.3853401,5900.0,0.0,0.0,765.6,0,1,0,0,0,0,0,0,0,0,0
4.0,4.0,0.0,1.0,200.0,1.0,2.1121509,41.3938358,5750.0,0.0,0.0,1730.0,0,0,0,0,1,0,0,0,0,0,0
3.0,1.0,0.0,1.0,100.0,3.0,2.1882281,41.3938181,1200.0,0.0,0.0,748.8,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,0.0,0.0,74.0,0.0,2.1508169,41.3832241,850.0,0.0,0.0,783.8,0,0,0,0,1,0,0,0,0,0,0
2.0,2.0,0.0,1.0,125.0,21.0,2.2170642,41.4074971,3000.0,0.0,0.0,1059.8,0,0,0,0,1,0,0,0,0,0,0
4.0,2.0,0.0,1.0,188.0,8.0,2.154986,41.3963272,3150.0,0.0,0.0,1156.3,0,0,0,0,0,0,1,0,0,0,0
2.0,2.0,0.0,1.0,70.0,5.0,2.1638546,41.377135,1500.0,0.0,0.0,765.6,0,0,0,0,1,0,0,0,0,0,0
2.0,2.0,0.0,0.0,70.0,0.0,2.1354055,41.3723682,1750.0,0.0,0.0,638.5,0,0,0,0,1,0,0,0,0,0,0
2.0,2.0,0.0,1.0,84.0,1.0,2.1793249,41.3938901,1490.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,0,0,0
3.0,3.0,0.0,1.0,255.0,0.0,2.1442174,41.393367,4000.0,0.0,0.0,1156.3,0,0,0,0,1,0,0,0,0,0,0
3.0,1.0,0.0,1.0,65.0,3.0,2.1795032,41.3766099,1490.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,1.0,50.0,4.0,2.1724833,41.377257,980.0,0.0,0.0,625.8,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,0.0,0.0,55.0,4.0,2.1667868,41.3810893,1200.0,0.0,0.0,625.8,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,0.0,1.0,130.0,2.0,2.1502501,41.4107034,1800.0,0.0,0.0,705.2,0,0,0,0,1,0,0,0,1,0,0
4.0,1.0,0.0,1.0,90.0,4.0,2.1648948,41.4323386,890.0,0.0,0.0,586.6,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,0.0,0.0,67.0,1.0,2.1500754,41.4122144,1100.0,0.0,0.0,735.8,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,0.0,0.0,77.0,3.0,2.120623,41.4002269,1050.0,0.0,0.0,1109.7,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,0.0,1.0,140.0,5.0,2.1466642,41.3998241,2850.0,1.0,1.0,1156.3,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,0.0,1.0,50.0,2.0,2.1445437,41.3897099,1300.0,0.0,0.0,783.8,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,1.0,50.0,4.0,2.1696624,41.384382,950.0,0.0,0.0,625.8,0,0,0,0,1,0,0,0,1,0,0
5.0,4.0,0.0,1.0,320.0,5.0,2.1471543,41.3987919,4000.0,0.0,0.0,1156.3,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,0.0,1.0,90.0,3.0,2.1515665,41.3844772,1200.0,0.0,0.0,783.8,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,0.0,1.0,85.0,7.0,2.1407549,41.40312,1450.0,0.0,0.0,799.7,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,0.0,1.0,100.0,3.0,2.1732575,41.3864669,1900.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,0.0,0.0,200.0,0.0,2.1639099,41.400856,2400.0,1.0,1.0,733.1,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,0.0,1.0,125.0,3.0,2.1712273,41.3836925,3400.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,0.0,90.0,3.0,2.1621559,41.3720511,2000.0,0.0,0.0,612.1,0,0,0,0,0,0,1,0,1,0,0
3.0,1.0,0.0,1.0,92.0,3.0,2.18558,41.46296,650.0,1.0,1.0,608.2,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,1.0,130.0,8.0,2.1337424,41.4059235,1500.0,0.0,0.0,1046.4,0,0,0,0,0,0,1,0,1,0,0
5.0,4.0,0.0,1.0,300.0,2.0,2.1473093,41.3985976,4502.0,0.0,0.0,1156.3,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,0.0,1.0,150.0,2.0,2.1905639,41.394191,2178.0,0.0,0.0,748.8,0,0,0,0,1,0,0,0,1,0,0
4.0,3.0,1.0,1.0,194.0,4.0,2.1952629,41.3885469,3200.0,1.0,1.0,1104.5,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,1.0,1.0,100.0,1.0,2.1781989,41.3792822,1600.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,0.0,56.0,1.0,2.1418063,41.4046223,800.0,0.0,0.0,799.7,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,1.0,1.0,120.0,20.0,2.2147967,41.4069439,4500.0,1.0,1.0,1059.8,0,0,0,0,0,0,1,0,1,0,0
2.0,1.0,0.0,0.0,65.0,0.0,2.1898844,41.3942366,1600.0,0.0,0.0,1104.5,0,0,0,0,1,0,0,0,0,0,0
4.0,2.0,1.0,1.0,97.0,7.0,2.1417431,41.4037166,1400.0,0.0,0.0,1046.4,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,0.0,1.0,85.0,3.0,2.1683826,41.3921022,1550.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,0.0,1.0,90.0,2.0,2.1627327,41.4293314,890.0,0.0,0.0,579.9,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,0.0,1.0,80.0,8.0,2.1679591,41.373869,1600.0,0.0,0.0,765.6,0,0,0,0,1,0,0,0,1,0,0
1.0,2.0,0.0,0.0,80.0,1.0,2.1574442,41.3741083,850.0,0.0,0.0,612.1,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,0.0,1.0,92.0,2.0,2.1663056,41.4030441,900.0,0.0,0.0,725.4,0,0,0,0,1,0,0,0,1,0,0
