,rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,0,chalet,flat,0,good,renew
123,2.0,2.0,0.0,1.0,125.0,3.0,2.1712273,41.3836925,3400.0,0.0,0.0,0,0,1,0,1,0
124,5.0,3.0,0.0,0.0,250.0,0.0,2.23618,41.46711,1695.0,0.0,0.0,0,1,0,0,1,0
125,1.0,1.0,0.0,0.0,90.0,3.0,2.1621559,41.3720511,2000.0,0.0,0.0,0,0,1,0,1,0
126,3.0,1.0,0.0,1.0,92.0,3.0,2.18558,41.46296,650.0,1.0,1.0,0,0,1,0,1,0
127,2.0,1.0,0.0,1.0,95.0,3.0,2.5805404,41.5887717,800.0,0.0,0.0,0,0,1,0,1,0
128,1.0,1.0,0.0,1.0,130.0,8.0,2.1337424,41.4059235,1500.0,0.0,0.0,0,0,1,0,1,0
129,5.0,4.0,0.0,1.0,300.0,2.0,2.1473093,41.3985976,4502.0,0.0,0.0,0,0,1,0,1,0
130,3.0,3.0,0.0,0.0,1054.0,0.0,1.9652417,41.282371,2500.0,0.0,0.0,0,1,0,0,1,0
131,3.0,2.0,0.0,1.0,150.0,2.0,2.1905639,41.394191,2178.0,0.0,0.0,0,0,1,0,1,0
132,4.0,3.0,1.0,1.0,194.0,4.0,2.1952629,41.3885469,3200.0,1.0,1.0,0,0,1,0,1,0
133,2.0,2.0,1.0,1.0,100.0,1.0,2.1781989,41.3792822,1600.0,0.0,0.0,0,0,1,0,1,0
134,1.0,1.0,0.0,0.0,56.0,1.0,2.1418063,41.4046223,800.0,0.0,0.0,0,0,1,0,1,0
135,2.0,2.0,1.0,1.0,120.0,20.0,2.2147967,41.4069439,4500.0,1.0,1.0,0,0,1,0,1,0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
137,4.0,2.0,1.0,1.0,97.0,7.0,2.1417431,41.4037166,1400.0,0.0,0.0,0,0,1,0,1,0
138,3.0,1.0,0.0,0.0,95.0,0.0,1.8344027,41.5368047,700.0,1.0,1.0,0,1,0,0,1,0
139,2.0,1.0,0.0,1.0,85.0,3.0,2.1683826,41.3921022,1550.0,0.0,0.0,0,0,1,0,1,0
140,4.0,2.0,0.0,1.0,90.0,2.0,2.1627327,41.4293314,890.0,0.0,0.0,0,0,1,0,1,0
141,3.0,1.0,0.0,1.0,80.0,8.0,2.1679591,41.373869,1600.0,0.0,0.0,0,0,1,0,1,0
142,1.0,2.0,0.0,0.0,80.0,1.0,2.1574442,41.3741083,850.0,0.0,0.0,0,0,1,0,1,0
143,2.0,1.0,0.0,1.0,92.0,2.0,2.1663056,41.4030441,900.0,0.0,0.0,0,0,1,0,1,0
144,3.0,2.0,1.0,1.0,97.0,3.0,2.12675,41.35532,1100.0,1.0,1.0,0,0,1,0,1,0
145,3.0,2.0,0.0,1.0,89.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,0,0,1,0,1,0
146,2.0,1.0,1.0,1.0,65.0,2.0,2.1736823,41.4349302,1200.0,0.0,0.0,0,0,1,0,1,0
147,3.0,1.0,0.0,1.0,70.0,1.0,2.0990163,41.3267845,850.0,0.0,0.0,0,0,1,0,0,0
148,2.0,2.0,1.0,1.0,85.0,3.0,2.17991,41.4084052,1200.0,0.0,0.0,0,0,1,0,1,0
149,3.0,2.0,1.0,1.0,140.0,1.0,2.1834846,41.4090513,1850.0,0.0,0.0,0,0,1,0,1,0
150,4.0,2.0,1.0,1.0,140.0,3.0,2.1512155,41.3981272,1600.0,0.0,0.0,0,0,1,0,1,0
151,4.0,1.0,1.0,1.0,100.0,2.0,2.1630248,41.4289712,890.0,0.0,0.0,0,0,1,0,1,0
152,2.0,1.0,1.0,1.0,62.0,3.0,2.1788211,41.3875138,1100.0,0.0,0.0,0,0,1,0,1,0
153,2.0,1.0,1.0,1.0,60.0,1.0,2.1465437,41.3857099,1300.0,0.0,0.0,0,0,1,0,1,0
154,4.0,2.0,1.0,1.0,85.0,6.0,2.153501,41.3985022,1450.0,0.0,0.0,0,0,1,0,1,0
155,2.0,2.0,1.0,1.0,10075.0,6.0,2.1790086,41.3976289,2000.0,0.0,0.0,0,0,1,0,1,0
156,3.0,1.0,1.0,1.0,100.0,5.0,2.1925432,41.4162902,990.0,0.0,0.0,0,0,1,0,1,0
158,3.0,2.0,0.0,0.0,175.0,0.0,1.8986187,41.5998536,1300.0,1.0,1.0,0,1,0,0,1,0
160,3.0,2.0,1.0,1.0,110.0,5.0,2.1893349,41.3891069,1700.0,1.0,1.0,0,0,1,0,1,0
161,2.0,1.0,1.0,0.0,100.0,2.0,2.1803154,41.384817,1500.0,0.0,0.0,0,0,1,0,1,0
162,4.0,2.0,1.0,1.0,110.0,4.0,2.1645244,41.3996648,1700.0,0.0,0.0,0,0,1,0,1,0
163,2.0,1.0,1.0,1.0,65.0,3.0,2.2124388,41.4074048,1200.0,0.0,0.0,0,0,1,0,1,0
165,0.0,1.0,1.0,1.0,98.0,3.0,2.1876373,41.3970254,1500.0,0.0,0.0,0,0,1,0,1,0
167,2.0,1.0,1.0,0.0,70.0,3.0,2.1620499,41.4342868,750.0,0.0,0.0,0,0,1,0,1,0
168,0.0,1.0,1.0,1.0,72.0,1.0,2.1413429,41.3687445,750.0,0.0,0.0,0,0,1,0,1,0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
170,3.0,3.0,0.0,0.0,143.0,0.0,2.0886361,41.476096,1300.0,0.0,0.0,0,1,0,0,1,0
171,3.0,1.0,1.0,1.0,70.0,7.0,2.1718381,41.4097792,1000.0,0.0,0.0,0,0,1,0,1,0
172,0.0,1.0,1.0,1.0,35.0,4.0,2.1391665,41.4048811,700.0,0.0,0.0,0,0,1,0,1,0
173,2.0,1.0,1.0,0.0,55.0,4.0,2.1796271,41.3887133,1400.0,0.0,0.0,0,0,1,0,1,0
174,2.0,1.0,1.0,1.0,165.0,1.0,2.28804,41.60312,650.0,1.0,1.0,0,0,1,0,1,0
176,2.0,1.0,1.0,1.0,80.0,1.0,2.1732601,41.4014176,1750.0,0.0,0.0,0,0,1,0,1,0
177,1.0,1.0,0.0,0.0,59.0,0.0,2.2010684,41.3934458,915.0,0.0,0.0,0,0,1,0,1,0
178,4.0,3.0,0.0,0.0,955.0,0.0,1.8921804,41.6024919,1700.0,1.0,1.0,0,1,0,0,1,0
180,2.0,1.0,1.0,0.0,50.0,1.0,2.1785316,41.3905275,875.0,0.0,0.0,0,0,1,0,1,0
181,1.0,1.0,1.0,0.0,40.0,1.0,2.1753687,41.3856551,930.0,0.0,0.0,0,0,1,0,1,0
182,2.0,1.0,1.0,0.0,50.0,1.0,2.1287013,41.3700013,650.0,0.0,0.0,0,0,1,0,1,0
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
185,1.0,1.0,1.0,0.0,40.0,1.0,2.1674747,41.3748759,1200.0,0.0,0.0,0,0,1,0,1,0
186,0.0,1.0,1.0,0.0,25.0,0.0,2.1299274,41.3752456,750.0,0.0,0.0,0,0,1,0,1,0
187,5.0,2.0,1.0,1.0,125.0,2.0,2.1400635,41.3668592,1499.0,0.0,0.0,0,0,1,0,1,0
188,4.0,1.0,1.0,1.0,100.0,0.0,2.1212059,41.3958712,1100.0,0.0,0.0,0,0,1,0,0,0
189,1.0,1.0,1.0,1.0,66.0,7.0,2.1724493,41.4000553,795.0,0.0,0.0,0,0,1,0,1,0
190,4.0,2.0,1.0,1.0,130.0,2.0,2.077661,41.4743199,1900.0,1.0,1.0,0,0,1,0,1,0
191,4.0,3.0,0.0,0.0,200.0,0.0,1.88805,41.60295,1700.0,1.0,1.0,0,1,0,0,1,0
192,1.0,1.0,1.0,0.0,40.0,2.0,1.9861901,41.2658451,730.0,0.0,0.0,0,0,1,0,1,0
193,4.0,1.0,1.0,0.0,105.0,1.0,2.1787846,41.4160563,1200.0,0.0,0.0,0,0,1,0,1,0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
196,3.0,2.0,1.0,0.0,70.0,3.0,1.9455391,41.2654018,1100.0,0.0,0.0,0,0,1,0,1,0
197,4.0,2.0,1.0,1.0,90.0,1.0,2.1567991,41.3917895,1600.0,1.0,1.0,0,0,1,0,1,0
198,3.0,1.0,1.0,0.0,80.0,4.0,2.1623248,41.4121318,2390.0,0.0,0.0,0,0,1,0,1,0
200,4.0,2.0,1.0,1.0,130.0,4.0,2.1345069,41.4055712,1800.0,0.0,0.0,0,0,1,0,1,0
201,0.0,1.0,1.0,0.0,40.0,1.0,2.1782453,41.387433,1000.0,0.0,0.0,0,0,1,0,1,0
202,1.0,1.0,1.0,0.0,50.0,1.0,2.1825519,41.3856992,1300.0,0.0,0.0,0,0,1,0,1,0
203,3.0,2.0,1.0,1.0,97.0,4.0,2.12595,41.35532,1200.0,1.0,1.0,0,0,1,0,1,0
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
205,2.0,1.0,1.0,0.0,55.0,4.0,2.1681642,41.3764047,1000.0,0.0,0.0,0,0,1,0,1,0
206,1.0,1.0,1.0,1.0,40.0,5.0,2.2053539,41.4041682,650.0,0.0,0.0,0,0,1,0,1,0
207,0.0,1.0,0.0,0.0,30.0,1.0,2.1804453,41.386133,800.0,0.0,0.0,0,0,1,0,1,0
208,2.0,1.0,1.0,1.0,80.0,3.0,2.1663821,41.3919084,1550.0,0.0,0.0,0,0,1,0,1,0
209,2.0,2.0,1.0,1.0,70.0,1.0,2.1731982,41.410668,1398.0,0.0,0.0,0,0,1,0,1,0
210,2.0,1.0,1.0,1.0,65.0,3.0,2.2101388,41.4074048,1200.0,0.0,0.0,0,0,1,0,1,0
211,2.0,1.0,1.0,0.0,105.0,0.0,2.136246,41.373358,1100.0,0.0,0.0,0,0,1,0,1,0
212,3.0,2.0,1.0,1.0,75.0,0.0,2.1575341,41.3804462,1300.0,0.0,0.0,0,0,1,0,1,0
213,3.0,2.0,1.0,0.0,95.0,2.0,2.1772391,41.3827479,1400.0,0.0,0.0,0,0,1,0,1,0
214,1.0,1.0,1.0,1.0,65.0,3.0,2.1400965,41.4075681,1100.0,0.0,0.0,0,0,1,0,1,0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
216,3.0,2.0,1.0,1.0,70.0,4.0,2.1386313,41.3863115,1000.0,0.0,0.0,0,0,1,0,1,0
217,1.0,1.0,1.0,0.0,60.0,1.0,2.1723963,41.38372,850.0,0.0,0.0,0,0,1,0,1,0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
219,4.0,2.0,1.0,0.0,90.0,1.0,2.1754038,41.3843121,1225.0,0.0,0.0,0,0,1,0,1,0
220,1.0,1.0,1.0,0.0,40.0,2.0,2.1355466,41.3779183,850.0,0.0,0.0,0,0,1,0,1,0
221,3.0,2.0,1.0,0.0,145.0,2.0,2.1539501,41.4095034,1800.0,0.0,0.0,0,0,1,0,1,0
222,2.0,2.0,1.0,1.0,90.0,1.0,2.1625514,41.3854463,1350.0,0.0,0.0,0,0,1,0,1,0
223,1.0,1.0,0.0,0.0,72.0,2.0,2.1822327,41.3855731,1275.0,0.0,0.0,0,0,1,0,1,0
