ID,propertyCode,thumbnail,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,district,neighborhood,latitude,longitude,showAddress,url,hasVideo,newDevelopment,hasLift,priceByArea
35,34952627,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHR3SV6f3XT%2FtJWyeGE0a7oWIIYeDE%2B6FOdBTThNYmrKenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1158213431,11,1,800,flat,55,0,1,1,Barcelona,Barcelona,Eixample,La Sagrada FamÃ_lia,41.4111778,2.1727669,0,http://www.idealista.com/34952627,0,0,1,15
36,26644942,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRAASLujdSzZ9iYYh1Gq5xnqBayp0KumSMRHgtcKoIy5fF253Rn1U%2BgVwmThMuemzO6lTXuPsG8pXa2GRM8cXx%2BdWd1WVpMNNdfu%2B3ZH4E00ZUWmN%2Fe64nMeHZOAUx7wi2Q%3D%3D&ch=-1929225216,8,3,680,flat,40,1,1,1,Barcelona,Barcelona,Ciutat Vella,El Raval,41.3825628,2.1636231,0,http://www.idealista.com/26644942,0,0,0,17
38,34952612,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRDLMfQDif%2Frql0pQaHt1j3T8lmgBHXQoyZGhr1s7FshienbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-755632842,21,4,950,flat,80,1,3,2,Barcelona,PremiÃ¡ de Mar,,,41.4928724,2.3613261,0,http://www.idealista.com/34952612,0,0,1,12
39,34952605,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRIvycNgYFqqrjIDeDen5FMyN1dwYRgGmQSHtAq6AOhOyenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1760878299,4,1000,1550,chalet,150,0,4,2,Barcelona,Sitges,Levantina-Montgavina-Quintmar,,41.240274,1.824905,1,http://www.idealista.com/34952605,0,0,0,10
40,34952601,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRDDU8rQlNNAlwE8Qaju1oqiuJ1V5MqYBbh7i%2BPBWzT0senbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-808246153,10,3,1300,flat,80,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3923752,2.155271,0,http://www.idealista.com/34952601,0,0,1,16
41,34952556,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRJ5FkRErmoY37ypNQUbRKNI4ZrrvKUj1G3lr9ZFcOvraenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=722189318,13,4,825,flat,67,1,3,1,Barcelona,Barcelona,Nou Barris,La Prosperitat,41.4428286,2.1833383,0,http://www.idealista.com/34952556,0,0,0,12
42,34952554,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRD91L%2FDPS5MyX%2B1yK7%2BFPwS3G5fN5FZILwLwiOlhL5ueenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1757514575,11,1,800,flat,74,0,3,1,Barcelona,Barcelona,Nou Barris,Porta,41.4328792,2.1724073,0,http://www.idealista.com/34952554,0,0,1,11
43,34952547,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRL%2BXT4NMs1sM8n9PCo60PGY2CCRXGDVgRRVrywMsrg3uenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1576613564,9,4,1300,flat,75,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3923752,2.153971,0,http://www.idealista.com/34952547,0,0,1,17
44,34952516,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRKUl%2F6kqwJ5BfGkwAuHbW7Xtk2IiNOHVZvlaRDZpRva0enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-144075954,14,1,800,flat,100,1,3,2,Barcelona,Barcelona,Nou Barris,Porta,41.4336892,2.1757879,0,http://www.idealista.com/34952516,0,0,1,8
45,34952515,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRH6EBc9TEzAKu5PmhgV%2BQuYrR4Tfvi6CSbvU3I1DJBktenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=89720434,11,2,1300,flat,88,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3929752,2.153771,0,http://www.idealista.com/34952515,0,0,1,15
46,34952512,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHTZxYq6ViJeuy1HBXlqprzMem4O%2BCPoFhabM4awbgEtenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1369438815,9,1,1300,flat,80,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3942752,2.153771,0,http://www.idealista.com/34952512,0,0,1,16
47,34952500,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRKCxY3zOUgELrmtzp3RJWP7SEKA07n4MIVOWy2iWpT7ienbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-768035882,12,1,785,flat,31,1,1,1,Barcelona,Barcelona,Ciutat Vella,La Barceloneta,41.3830948,2.1904933,0,http://www.idealista.com/34952500,0,0,0,25
49,34952442,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRORIBzq3DeBCn0icempsoIB1NfMD43l1bIYD488qZlfyenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-171346401,24,2,1300,flat,80,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3966173,2.1543695,0,http://www.idealista.com/34952442,1,0,1,16
52,34952340,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLMN274gREpKLgx0rN%2FZblLmntxZIcDP2pgxiLE%2BdKywenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1163102103,8,1,800,duplex,105,1,4,2,Barcelona,Terrassa,Ponent,Roc Blanc,41.5579384,1.9976336,0,http://www.idealista.com/34952340,0,0,0,8
53,34952274,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRH2TBBLOmPZ7u06gu30I4wDz0nuvIfBcKcNxILWF736xenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1526798750,19,4,2500,flat,140,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3858539,2.1605314,0,http://www.idealista.com/34952274,0,0,1,18
