propertyCode,externalReference,status,rooms,bathrooms,exterior,hasLift,size,floor,numPhotos,hasVideo,propertyType,typology,subTypology,newDevelopment,province,municipality,neighborhood,district,longitude,latitude,price,priceByArea,url,thumbnail,showAddress,subtitle,title,hasParkingSpace,isParkingSpaceIncludedInPrice
35154023.0,BacRoda,good,2.0,2,1,1.0,55.0,1,9.0,0,flat,flat,,0,Barcelona,Barcelona,Provençals del Poblenou,Sant Martí,2.2033867,41.4107707,1050.0,19.0,http://www.idealista.com/35154023,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLVjjETcw9QRrdnwol0kND7m3IUqfviN89dvI1VcLZWhenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=2052557056,0,"Provençals del Poblenou, Barcelona",Piso en bac de Roda,0.0,0.0
33737725.0,,good,2.0,2,1,0.0,95.0,2,6.0,0,flat,flat,,0,Barcelona,Barcelona,El Gòtic,Ciutat Vella,2.1762199,41.3821448,1850.0,19.0,http://www.idealista.com/33737725,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRG0ZwId7RejW1UedlqiOXWZaB1bRwJpZu4X9DsANhA5lenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1310639512,1,"El Gòtic, Barcelona","Piso en calle de ferran, 53",0.0,0.0
35153980.0,,good,3.0,1,1,0.0,78.0,4,11.0,0,flat,flat,,0,Barcelona,Sant Boi de Llobregat,,Plaça Catalunya - Vinyets,2.0411116,41.3403824,575.0,7.0,http://www.idealista.com/35153980,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLkGcqWXU9sSRUFIXb61qfdT%2Bl815Zx72bNt2z4VdYnkenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1213011169,1,"Plaça Catalunya - Vinyets, Sant Boi de Llobregat","Piso en plaza Catalunya, 29",0.0,0.0
35153934.0,59799,good,2.0,2,1,0.0,80.0,3,20.0,1,flat,flat,,0,Barcelona,Barcelona,Hostafrancs,Sants-Montjuïc,2.1447471,41.3752832,1100.0,14.0,http://www.idealista.com/35153934,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRCWVad9T%2Fb2CDZvDFdNm%2BRrBHf9ySb%2BliPt8mdfZ5qRJenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-874531398,0,"Hostafrancs, Barcelona",Piso en calle del Rector Triadó,0.0,0.0
35153849.0,264,good,3.0,1,1,1.0,61.0,4,12.0,0,flat,flat,,0,Barcelona,Barcelona,Ciutat Meridiana - Torre Baró - Vallbona,Nou Barris,2.1773806,41.462246,715.0,12.0,http://www.idealista.com/35153849,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRBjxxm8Kj8GOCIqxVquzPjuFAWLTqGig4wLfs%2BYWvKsYenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=204072524,0,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",Piso en calle del Pedraforca,0.0,0.0
35153838.0,Assaonadors,good,1.0,1,1,0.0,45.0,6,6.0,0,flat,flat,,0,Barcelona,Barcelona,Sant Pere - Santa Caterina i la Ribera,Ciutat Vella,2.1828496,41.3861273,700.0,16.0,http://www.idealista.com/35153838,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRF1hy%2BC0b%2BC71nKZ3J07LHlyrk7ZTW7oXSBXRIDQRHFqenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1240730721,0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso en calle dels Assaonadors,0.0,0.0
35153803.0,PMA151116P,good,2.0,1,1,1.0,68.0,1,8.0,0,flat,flat,,0,Barcelona,Premiá de Mar,,,2.3518851,41.4858228,650.0,10.0,http://www.idealista.com/35153803,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRN7c1eNxMe1dj8KJfVuxHogN2%2FVbHgHdZMW%2Fm%2FkDmedqenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1671883430,0,Premiá de Mar,Piso,0.0,0.0
30278645.0,SH177/ 203,good,5.0,4,0,0.0,350.0,1000,32.0,0,chalet,chalet,independantHouse,0,Barcelona,Sitges,,Vinyet-Terramar-Can Pei-Can Girona,1.7737812,41.2319226,4200.0,12.0,http://www.idealista.com/30278645,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRPWbuTPynS9yNt%2FbofBe4m%2BJh2MlebC9mcNTHRpn2lEIF253Rn1U%2BgVwmThMuemzO6lTXuPsG8pXa2GRM8cXx%2BdWd1WVpMNNdfu%2B3ZH4E00ZUWmN%2Fe64nMeHZOAUx7wi2Q%3D%3D&ch=1723134005,0,"Vinyet-Terramar-Can Pei-Can Girona, Sitges",Casa independiente en camino Can Girona,1.0,1.0
35153773.0,,good,3.0,1,0,1.0,102.0,2,25.0,0,flat,flat,,0,Barcelona,Barcelona,El Putget i Farró,Sarrià-Sant Gervasi,2.1430007,41.404362,1200.0,12.0,http://www.idealista.com/35153773,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHHnqGBcq%2FLY3CihRqNjUBQz1bSg1Y3Ofz4yAfOGAjqkenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOucvR%2BNRRL8SbREY%2F1T6lFKNZnN0IKffq7bNBUS%2Ft43wg%3D%3D&ch=659902715,1,"El Putget i Farró, Barcelona","Piso en río Rosas, 41",0.0,0.0
35153769.0,59999,good,1.0,1,1,0.0,35.0,3,20.0,1,flat,flat,,0,Barcelona,Barcelona,Sant Pere - Santa Caterina i la Ribera,Ciutat Vella,2.1814725,41.3859761,750.0,21.0,http://www.idealista.com/35153769,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRDLMfQDif%2Frql0pQaHt1j3RB6YSxM9%2FveQy8VplXzUHXenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=195038172,0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso en calle de Calders,0.0,0.0
